TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
20150101,6.7,-7.1,-5.1,-8.7,57.0,9.1,-9.0,3.5999999999999996
20150101,4.3,-5.5,-2.3,-7.7,40.6,8.6,-9.0,5.4
20150101,12.6,0.0,2.5,-2.0,76.8,3.3,1.5,4.5
20150101,3.4,-6.9,-3.9,-9.1,39.5,8.4,-9.0,5.199999999999999
20150101,1.9,-4.3,-1.3,-5.9,80.0,1.6,4.0,4.6000000000000005
20150101,4.5,-2.0,-0.8,-3.4,73.5,3.9,1.0,2.5999999999999996
20150101,6.4,-5.1,-1.9,-7.6,26.8,8.2,-9.0,5.699999999999999
20150102,1.2,-8.7,-3.0,-13.6,50.9,8.6,-9.0,10.6
20150102,4.0,-2.0,-1.1,-3.2,66.8,0.9,4.9,2.1
20150102,1.8,-4.5,-0.8,-7.1,85.9,5.1,1.1,6.3
20150102,2.2,-3.8,-0.4,-8.1,89.1,1.5,6.5,7.699999999999999
20150102,1.7,-7.9,-1.8,-11.7,50.1,7.3,-9.0,9.899999999999999
20150102,0.7,-3.9,0.4,-8.0,83.9,2.9,1.5,8.4
20150102,3.0,1.0,6.1,-2.4,68.1,5.3,1.0,8.5
20150102,2.9,-2.5,0.8,-6.2,49.0,7.2,0.0,7.0
20150103,1.3,-4.8,2.9,-15.6,61.4,7.8,-9.0,18.5
20150103,0.8,-6.5,1.9,-14.9,61.9,6.4,-9.0,16.8
20150103,1.0,-2.0,5.2,-9.0,60.5,7.3,-9.0,14.2
20150103,3.7,-0.6,4.5,-4.7,80.6,8.3,-9.0,9.2
20150103,1.8,-3.8,2.8,-10.7,30.0,7.4,-9.0,13.5
20150103,0.8,-6.2,3.3,-14.6,80.1,8.1,-9.0,17.9
20150103,0.5,-4.3,4.5,-11.9,66.4,8.7,-9.0,16.4
20150103,2.1,-2.0,5.5,-9.8,42.4,8.5,-9.0,15.3
20150104,0.5,-0.4,4.6,-3.9,82.0,4.7,0.0,8.5
20150104,1.0,1.8,9.3,-3.0,88.3,7.8,-9.0,12.3
20150104,1.1,4.8,11.2,-0.3,55.1,8.6,-9.0,11.5
20150104,2.8,11.5,15.0,7.7,64.8,8.4,-9.0,7.3
20150104,0.5,-1.9,5.5,-6.2,77.4,1.2,-9.0,11.7
