,TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
0,20230101,2.7,-0.2,3.8,-4.3,54.5,9.0,0.0,8.1
1,20230101,2.1,0.1,6.9,-6.4,51.9,7.7,0.0,13.3
2,20230101,5.2,4.3,8.5,1.1,49.4,8.7,0.0,7.4
3,20230101,2.0,-1.2,3.4,-5.2,47.4,8.4,0.0,8.6
4,20230101,0.7,-2.5,5.8,-8.4,66.0,6.4,0.0,14.2
5,20230101,1.6,2.9,9.5,-1.9,53.0,7.8,0.0,11.4
6,20230101,4.6,1.9,5.9,-1.7,43.8,6.0,0.0,7.6
7,20230101,2.1,4.3,8.9,-1.3,56.3,8.0,0.0,10.2
8,20230102,2.5,-4.5,-0.4,-7.4,45.9,9.1,0.0,7.0
9,20230102,2.5,-2.7,3.0,-6.3,35.3,8.9,0.0,9.3
10,20230102,8.1,1.7,4.9,-1.0,27.3,9.0,0.0,5.9
11,20230102,1.4,-5.7,-1.5,-9.5,46.3,8.5,0.0,8.0
12,20230102,0.8,-4.6,1.5,-9.8,58.5,8.7,0.0,11.3
13,20230102,2.4,3.5,7.3,-0.3,19.5,7.4,0.0,7.6
14,20230102,2.5,-2.8,2.1,-6.6,35.9,7.4,0.0,8.7
15,20230102,1.1,1.6,6.8,-3.3,37.5,8.1,0.0,10.1
16,20230103,1.8,-5.0,0.6,-9.0,49.0,9.1,0.0,9.6
17,20230103,1.8,-3.7,3.4,-11.4,43.4,9.2,0.0,14.8
18,20230103,8.4,1.1,5.2,-1.4,42.9,8.9,0.0,6.6
19,20230103,1.1,-6.9,-1.2,-12.3,60.4,8.5,0.0,11.1
20,20230103,0.8,-4.6,2.8,-12.2,64.5,9.1,0.0,15.0
21,20230103,2.2,2.3,7.7,-1.7,26.9,8.0,0.0,9.4
22,20230103,3.0,-2.8,1.9,-7.7,38.3,7.4,0.0,9.6
23,20230103,1.3,0.6,6.1,-4.5,49.4,8.0,0.0,10.6
24,20230104,1.9,-1.8,3.3,-5.7,51.4,8.7,0.0,9.0
25,20230104,1.9,-2.6,4.9,-10.8,45.8,9.0,0.0,15.7
26,20230104,4.7,2.8,7.5,-1.7,47.9,8.5,0.0,9.2
27,20230104,1.0,-4.1,1.7,-9.2,65.3,8.5,0.0,10.9
28,20230104,0.8,-3.2,4.8,-9.9,70.0,7.5,0.0,14.7
29,20230104,2.0,2.5,9.0,-2.4,42.4,8.0,0.0,11.4
